,ID,AEP_MW
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,125.8950754039945
8,,142.18164356016786
9,,1658.5087978819697
10,,7222.438723138586
11,,6493.712363892748
12,,1570.9806627591456
13,,341.7044217916335
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,125.97813796248487
31,,142.27545160664283
32,,1659.6030423040706
33,,7227.203915398559
34,,6497.99675993695
35,,1572.0171582119578
36,,341.9298701932521
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,126.06120052097523
55,,142.36925965311784
56,,1660.697286726172
57,,7231.9691076585295
58,,6502.281155981152
59,,1573.0536536647696
60,,342.15531859487066
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,126.14426307946556
79,,142.46306769959284
80,,1661.791531148273
81,,7236.734299918502
82,,6506.565552025353
83,,1574.0901491175814
84,,342.3807669964892
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,126.22732563795593
103,,142.55687574606785
104,,1662.8857755703746
105,,7241.499492178475
106,,6510.8499480695555
107,,1575.1266445703936
108,,342.60621539810785
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,126.3103881964463
127,,142.65068379254285
128,,1663.9800199924757
129,,7246.264684438446
130,,6515.134344113758
131,,1576.1631400232054
132,,342.8316637997264
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,126.39345075493665
151,,142.74449183901785
152,,1665.074264414577
153,,7251.02987669842
154,,6519.41874015796
155,,1577.1996354760174
156,,343.05711220134503
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,126.476513313427
175,,142.83829988549283
176,,1666.1685088366785
177,,7255.79506895839
178,,6523.703136202162
179,,1578.2361309288292
180,,343.2825606029636
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,126.55957587191736
199,,142.93210793196783
200,,1667.2627532587794
201,,7260.560261218363
202,,6527.987532246363
203,,1579.272626381641
204,,343.5080090045821
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,126.64263843040771
223,,143.02591597844284
224,,1668.356997680881
225,,7265.3254534783355
226,,6532.2719282905655
227,,1580.3091218344528
228,,343.7334574062007
229,,
